[14:09:33 505]:  WARNING! No Y16 data recved in 5000 ms in Y16PullerNET640x480HS
[14:09:35 531]:  ERROR! Connect to 192.168.1.168 failed in CmdSenderHS::getAllCalcParm
[14:09:56 670]:  WARNING! Connect to 192.168.1.168:4955 failed.
[14:09:57 844]:   Recv calc parm: [recvDistance=250&recvEmiss=98&recvHumidity=79&recvBackTemp=30&recvBackFlag=0&recvDis_a0=-33814&recvDis_a1=3137&recvDis_b0=924&recvDis_b1=9729&recvDis_c0=-2482&recvDis_c1=777&recvKF=98&&recvB0=3&recvK1=0&recvK2=300&recvK3=0&recvK4=0&recvB2=0&CorrectionTemp=0&recvK5=0&recvK6=-370&recvB3=2300]
[14:09:57 844]:   info->recvEmiss=98
[14:09:57 844]:   info->recvDistance=250
[14:09:58 004]:   pCurvesStruct->curve_count=9, pCurvesStruct->curve_length=32768
[14:09:58 087]:   curve[index, range, gear, len]=[0, 0, 1, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[1, 0, 2, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[2, 0, 3, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[3, 1, 1, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[4, 1, 2, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[5, 1, 3, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[6, 2, 1, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[7, 2, 2, 0]
[14:09:58 087]:   curve[index, range, gear, len]=[8, 2, 3, 0]
[14:09:58 087]:  ERROR! Curve[5], element[5861] format error

[14:09:58 087]:  ERROR! Curve[8], element[4814] format error

[14:09:58 090]:  ERROR! Cannot find second frame.
[14:09:58 716]:  WARNING! Too many Y16 data in 2 ms, new data ignored
[14:10:58 972]:  WARNING! Too many Y16 data in 2 ms, new data ignored
[14:11:59 742]:  WARNING! Too many Y16 data in 2 ms, new data ignored
[14:12:59 857]:  WARNING! Too many Y16 data in 2 ms, new data ignored
[14:19:06 650]:   SDK version:1.0.0.121
[14:19:06 650]:  WARNING! call readCfg return failed. in GD_MTC_SDK_Init
[14:19:06 651]:   GD_MTC_SDK_Login
[14:19:06 651]:   Into msgToThisServiceCoreAndWaitForResult
[14:19:06 651]:   msg to ServiceCore msgId=0, pMsg=0
[14:19:06 651]:   Thread start. id=28432
[14:19:06 652]:   msg to ServiceCore msgId=0, pMsg=0. Done
[14:19:06 652]:   ServiceCore::login
[14:19:06 652]:   SDK version:1.0.0.121
[14:19:06 652]:   nDeviceType=11
[14:19:06 652]:   Create Device: NET384x288NOCLIPHS
[14:19:06 652]:   nFpgaPort=4954, nY16Port=4955
[14:19:06 653]:   Thread start. id=20956
[14:19:06 659]:   Thread start. id=12940
[14:19:06 659]:   Thread start. id=18596
[14:19:06 659]:   Base64Name=YWRtaW46OTk5OQ==
[14:19:06 819]:   Recv armversion is "HTTP/1.1 405 Method Not Allowed
Server: gSOAP/2.8
Content-Type: text/xml; charset=utf-8
Content-Length: 1363
Connection: close

<?xml version="1.0" encoding="UTF-8"?>
